نام شرکت تولید کننده,نام شرکت تامین کننده,نام صاحب برند,توزیع کننده,کشور تولید  کننده,نام برند,نام لاتین برند,نام ژنریک,نام ماده موثره, تعداد فروش (بسته) , تعداد در بسته , فروش عددی , فروش ریالی مصرف کننده ,کد ژنریک,OTC,بیولوژیک,ATC Code,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,متازیرو   قرص پیوسته رهش خوراکی 47.5 mg,"METAZERO   TABLET, EXTENDED RELEASE ORAL 47.5 mg","METOPROLOL SUCCINATE TABLET, EXTENDED RELEASE ORAL 47.5 mg",METOPROLOL SUCCINATE," 728,940 ", 30 ," 21,868,200 "," 299,594,340,000 ",11871,0,0,C07AB02,,
Ati Pharmed Pharmaceutical Company,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,دوفامد   قرص خوراکی 10 mg,DOFAMED   TABLET ORAL 10 mg,DYDROGESTERONE TABLET ORAL 10 mg,DYDROGESTERONE," 659,195 ", 20 ," 13,183,900 "," 296,446,216,000 ",5596,0,0,G03DB01,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,یاسنال   قرص خوراکی 5 mg,YASNAL   TABLET ORAL 5 mg,DONEPEZIL HYDROCHLORIDE TABLET ORAL 5 mg,DONEPEZIL HYDROCHLORIDE," 350,210 ", 28 ," 9,805,880 "," 294,176,400,000 ",1927,0,0,N06DA02,,
Actoverco,اکتوورکو,Merck,الیت دارو,ایران,گلوکوفاژ   قرص خوراکی 1000 mg,GLUCOPHAGE   TABLET ORAL 1000 mg,METFORMIN HYDROCHLORIDE TABLET ORAL 1000 mg,METFORMIN HYDROCHLORIDE," 391,904 ", 30 ," 11,757,120 "," 270,413,760,000 ",10915,0,0,A10BA02,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,آلوینتا   کپسول پیوسته رهش خوراکی 75 mg,"ALVENTA   CAPSULE, EXTENDED RELEASE ORAL 75 mg","VENLAFAXINE CAPSULE, EXTENDED RELEASE ORAL 75 mg",VENLAFAXINE," 453,794 ", 28 ," 12,706,232 "," 254,124,640,000 ",13873,0,0,N06AX16,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,لتیزن   قرص خوراکی 10 mg,LETIZEN   TABLET ORAL 10 mg,CETIRIZINE HYDROCHLORIDE TABLET ORAL 10 mg,CETIRIZINE HYDROCHLORIDE," 3,844,298 ", 20 ," 76,885,960 "," 253,723,668,000 ",1424,1,0,R06AE07,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,والساکور   قرص خوراکی 80 mg,VALSACOR   TABLET ORAL 80 mg,VALSARTAN TABLET ORAL 80 mg,VALSARTAN," 880,070 ", 28 ," 24,641,960 "," 246,419,600,000 ",5423,0,0,C09CA03,,
taha collaborative industrial investment,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,اکتوژست   شیاف واژینال 400 mg,ACTOGEST   SUPPOSITORY VAGINAL 400 mg,PROGESTERONE SUPPOSITORY VAGINAL 400 mg,PROGESTERONE," 328,798 ", 15 ," 4,931,970 "," 243,787,277,100 ",2082,0,0,G03DA04,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,فستوور   قرص خوراکی 120 mg,FASTOVER   TABLET ORAL 120 mg,FEXOFENADINE HYDROCHLORIDE TABLET ORAL 120 mg,FEXOFENADINE HYDROCHLORIDE," 516,598 ", 30 ," 15,497,940 "," 238,668,276,000 ",6751,1,0,R06AX26,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,ریتوکسی ور   تزریقی پرنترال 10 mg/1mL 50 mL,RITUXIVER   INJECTION PARENTERAL 10 mg/1mL 50 mL,RITUXIMAB INJECTION PARENTERAL 10 mg/1mL 50 mL,RITUXIMAB," 10,258 ", 1 ," 10,258 "," 231,480,000,000 ",2474,0,1,L01XC02,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,اس سیتاور   قرص خوراکی 10 mg,ESCITOVER   TABLET ORAL 10 mg,ESCITALOPRAM (AS OXALATE) TABLET ORAL 10 mg,ESCITALOPRAM (AS OXALATE)," 1,084,239 ", 30 ," 32,527,170 "," 227,690,190,000 ",8968,0,0,N06AB10,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,رزورکسین   قرص خوراکی 10 mg,ROSUREXIN   TABLET ORAL 10 mg,ROSUVASTATIN (AS CALCIUM) TABLET ORAL 10 mg,ROSUVASTATIN (AS CALCIUM)," 1,199,058 ", 30 ," 35,971,740 "," 188,851,635,000 ",6454,0,0,C10AA07,,
