,Unnamed: 0,pharma_company,brand_name_en,generic_name_en,substance_name_en,atc_code_raw,anatomical_desc,therapeutic_desc,pharmacological_desc,subpharmacological_desc,chemical_desc,preprocessed_index
36070,36070,sina darou laboratories,xylex-h   ointment rectal 5 %/0.5 % 15 g,lidocaine / hydrocortisone acetate ointment rectal 5 %/0.5 % 15 g,lidocaine / hydrocortisone acetate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36070
36071,36071,jaber ebne hayyan,triamcicort   ointment topical 0.1 % 15 g,triamcinolone acetonide ointment topical 0.1 % 15 g,triamcinolone acetonide,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36071
36072,36072,samisaz,metforsam   tablet oral 500 mg,metformin hydrochloride tablet oral 500 mg,metformin hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36072
36073,36073,fresenius kabi norge a/s,glycophos   injection parenteral 216 mg/1ml 20 ml,phosphate (organic) injection parenteral 216 mg/1ml 20 ml,phosphate (organic),j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36073
36074,36074,aburaihan pharmaceutical co,psoriament   ointment topical 50 ug/1g 30 g,calcipotriol ointment topical 50 ug/1g 30 g,calcipotriol,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36074
36075,36075,rouzdarou,carbamazepine   tablet oral 200 mg,carbamazepine tablet oral 200 mg,carbamazepine,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36075
36076,36076,actoverco,"sustac   tablet, extended release oral 2.6 mg","nitroglycerin tablet, extended release oral 2.6 mg",nitroglycerin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36076
36077,36077,,clindaplus® 1.2/0.025% 30g gel   gel topical 1.2 %/0.025 % 15,clindamycin phosphate / tretinoin gel topical 1.2 %/0.025 % 15 g,clindamycin phosphate / tretinoin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36077
36078,36078,iran najo,erythromycin-najo   solution topical 2 % 60 ml,erythromycin solution topical 2 % 60 ml,erythromycin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36078
36079,36079,jaber ebne hayyan,"ampixill   injection, powder, for solution parenteral 250 mg  mg","ampicillin injection, powder, for solution parenteral 250 mg",ampicillin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36079
36080,36080,samisaz,"pantoss   tablet, delayed release oral 40 mg","pantoprazole tablet, delayed release oral 40 mg",pantoprazole,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36080
36081,36081,rouzdarou,vitamin b1   tablet oral 300 mg,vitamin b1 (thiamine) tablet oral 300 mg,vitamin b1 (thiamine),j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36081
36082,36082,l molteni & c dei fratelli alitti societa di esercizio spa,"ropivacaina molteni   injection, solution parenteral 7.5 mg/1ml 10 mg","ropivacaine hydrochloride injection, solution parenteral 7.5 mg/1ml 10 ml",ropivacaine hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36082
36083,36083,laboratorios normon sa,"pramipexole normon   tablet, extended release oral 0.375 mg","pramipexole dihydrochloride tablet, extended release oral 0.375 mg",pramipexole dihydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36083
36084,36084,health biotech limited,"mitomycin   injection, powder, for solution parenteral 2 mg  mg","mitomycin injection, powder, for solution parenteral 2 mg",mitomycin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36084
36085,36085,ronak pharmaceutical,protamine   injection parenteral 10 mg/1ml 5 [iu],protamine sulfate injection parenteral 10 mg/1ml 5 ml,protamine sulfate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36085
36086,36086,emad darman pars,guaifenesin-emad   syrup oral 100 mg/5ml 60 ml,guaifenesin syrup oral 100 mg/5ml 60 ml,guaifenesin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36086
36087,36087,nano fanavaran darouei alvand (nanoalvand),"trexoma   injection, solution parenteral 50 mg/1ml 0.6 mg","methotrexate injection, solution parenteral 50 mg/1ml 0.6 ml",methotrexate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36087
36088,36088,pars darou,flurazepam   capsule oral 15 mg,flurazepam capsule oral 15 mg,flurazepam,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36088
36089,36089,aburaihan pharmaceutical co,"ketorolac   injection, solution parenteral 30 mg/1ml  ml","ketorolac trometamol injection, solution parenteral 30 mg/1ml",ketorolac trometamol,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36089
36090,36090,tehran chemie pharmaceutical co.,praxol   tablet oral 0.25 mg,pramipexole dihydrochloride tablet oral 0.25 mg,pramipexole dihydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36090
36091,36091,tehran chemie pharmaceutical co.,clozapex   tablet oral 100 mg,clozapine tablet oral 100 mg,clozapine,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36091
36092,36092,actero middleeast,lenalidomide acte   capsule oral 25 mg,lenalidomide capsule oral 25 mg,lenalidomide,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36092
36093,36093,panpharma,"thiopental-panpharma   injection, powder, for solution parenteral 500 mg  mg","thiopental sodium injection, powder, for solution parenteral 500 mg",thiopental sodium,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36093
36094,36094,nano fanavaran darouei alvand (nanoalvand),xybrone   tablet oral 500 mg,abiraterone acetate tablet oral 500 mg,abiraterone acetate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36094
36095,36095,sina darou laboratories,"homydrin   solution, drops ophthalmic 2 % 10 ml","homatropine solution, drops ophthalmic 2 % 10 ml",homatropine,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36095
36096,36096,soha pharmaceutical co.,maalogel-s   suspension oral 225 mg/200 mg/25 mg/5ml 240 ml,aluminium hydroxide / magnesium hydroxide / simethicone suspension oral 225 mg/200 mg/25 mg/5ml 240 ml,aluminium hydroxide / magnesium hydroxide / simethicone,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36096
36097,36097,,"nitrosustin® 6.4mg sr tab   tablet, extended release oral 6.4 mg","nitroglycerin tablet, extended release oral 6.4 mg",nitroglycerin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36097
36098,36098,exir pharmaceutical company,bupropion-exir   tablet oral 100 mg,bupropion hydrochloride tablet oral 100 mg,bupropion hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36098
36099,36099,tehran chemie pharmaceutical co.,bisofar   tablet oral 2.5 mg,bisoprolol fumarate tablet oral 2.5 mg,bisoprolol fumarate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36099
36100,36100,emad darman pars,theophylline-g emad   solution oral 50 mg/30 mg/5ml 120 ml,theophylline / guaifenesin solution oral 50 mg/30 mg/5ml 120 ml,theophylline / guaifenesin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36100
36101,36101,aburaihan pharmaceutical co,cardiosan   tablet oral 50 mg,losartan potassium tablet oral 50 mg,losartan potassium,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36101
36102,36102,darou pakhsh,bisoprolol   tablet oral 10 mg,bisoprolol fumarate tablet oral 10 mg,bisoprolol fumarate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36102
36103,36103,nano fanavaran darouei alvand (nanoalvand),"tiagem   injection, solution, concentrate parenteral 100 mg/1ml 2 mg","gemcitabine hydrochloride injection, solution, concentrate parenteral 100 mg/1ml 2 ml",gemcitabine hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36103
36104,36104,alborzdarou,ibuprofen   suspension oral 100 mg/5ml 120 ml,ibuprofen suspension oral 100 mg/5ml 120 ml,ibuprofen,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36104
36105,36105,samisaz,tiafil   tablet oral 20 mg,tadalafil tablet oral 20 mg,tadalafil,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36105
36106,36106,raha pharmaceutical isfahan company,mefenamic acid   capsule oral 250 mg,mefenamic acid capsule oral 250 mg,mefenamic acid,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36106
36107,36107,alkermes inc,"risperdal consta   injection, powder, for suspension, extended release parenteral 37.5 mg  mg","risperidone injection, powder, for suspension, extended release parenteral 37.5 mg",risperidone,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36107
36108,36108,emad darman pars,acetaminophen-emad   suspension oral 120 mg/5ml 120 ml,acetaminophen suspension oral 120 mg/5ml 120 ml,acetaminophen,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36108
36109,36109,farabi pharmaceutical,sotalol   tablet oral 80 mg,sotalol hydrochloride tablet oral 80 mg,sotalol hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36109
36110,36110,sobhan oncology,paclitaxel   injection parenteral 6 mg/1ml 16.7 ml,paclitaxel injection parenteral 6 mg/1ml 16.7 ml,paclitaxel,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36110
36111,36111,rouzdarou,domperidone   tablet oral 10 mg,domperidone tablet oral 10 mg,domperidone,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36111
36112,36112,actero middleeast,imatinib acte   tablet oral 100 mg,imatinib (as mesylate) tablet oral 100 mg,imatinib (as mesylate),j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36112
36113,36113,fanavarihaye novin darouie atieh,meloxicam   tablet oral 15 mg,meloxicam tablet oral 15 mg,meloxicam,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36113
36114,36114,aburaihan pharmaceutical co,meloxicam   tablet oral 15 mg,meloxicam tablet oral 15 mg,meloxicam,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36114
36115,36115,samen pharmaceutical co,"dextrose/sodium chloride (bag)   injection, solution intravenous 5 %/0.9 % 1000 l","dextrose / sodium chloride injection, solution intravenous 5 %/0.9 % 1000 ml",dextrose / sodium chloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36115
36116,36116,daana pharma,"ceftriana   injection, powder, for solution parenteral 500 mg  mg","ceftriaxone (as sodium) injection, powder, for solution parenteral 500 mg",ceftriaxone (as sodium),j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36116
36117,36117,samisaz,panaphen codeine   tablet oral 300 mg/20 mg,acetaminophen / codeine phosphate tablet oral 300 mg/20 mg,acetaminophen / codeine phosphate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36117
36118,36118,dr. abidi pharmaceuticals,gemfibrozil-abidi   tablet oral 450 mg,gemfibrozil tablet oral 450 mg,gemfibrozil,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36118
36119,36119,astrazeneca ab,"pulmicort   powder, metered respiratory 200 ug/1{dose} 100 mg","budesonide powder, metered respiratory 200 ug/1{dose} 100 {dose}",budesonide,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36119
36120,36120,neal pharmed,pergabalin   capsule oral 75 mg,pregabalin capsule oral 75 mg,pregabalin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36120
36121,36121,daana pharma,"cepimax   injection, powder, for solution parenteral 2 g  g","cefepime injection, powder, for solution parenteral 2 g",cefepime,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36121
36122,36122,aburaihan pharmaceutical co,clovagicin   cream vaginal 2 %/2 % 40 g,clindamycin (as phosphate) / clotrimazole cream vaginal 2 %/2 % 40 g,clindamycin (as phosphate) / clotrimazole,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36122
36123,36123,aburaihan pharmaceutical co,fertiphen   tablet oral 50 mg,clomiphene citrate tablet oral 50 mg,clomiphene citrate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36123
36124,36124,emad darman pars,hydroxyzine-emad   syrup oral 10 mg/5ml 120 ml,hydroxyzine hydrochloride syrup oral 10 mg/5ml 120 ml,hydroxyzine hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36124
36125,36125,,clindamycin-medipharm® 1% 15g top gel   gel topical 1 % 15,clindamycin (as phosphate) gel topical 1 % 15 g,clindamycin (as phosphate),j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36125
36126,36126,novo nordisk,"glucagen hypokit   injection, powder, for solution parenteral 1 mg  mg","glucagon injection, powder, for solution parenteral 1 mg",glucagon,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36126
36127,36127,tehran chemie pharmaceutical co.,demitron   solution oral 4 mg/5ml 60 ml,ondansetron solution oral 4 mg/5ml 60 ml,ondansetron,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36127
36128,36128,daana pharma,"ceftizoxime   injection, powder, for solution parenteral 500 mg  mg","ceftizoxime injection, powder, for solution parenteral 500 mg",ceftizoxime,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36128
36129,36129,dr. abidi pharmaceuticals,codimal   tablet oral 500 mg,acetaminophen tablet oral 500 mg,acetaminophen,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36129
36130,36130,rouzdarou,"divalproex   tablet, delayed release oral 500 mg","valproate semisodium tablet, delayed release oral 500 mg",valproate semisodium,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36130
36131,36131,pursina pharmaceutical co.,metronidazole   tablet oral 250 mg,metronidazole tablet oral 250 mg,metronidazole,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36131
36132,36132,pursina pharmaceutical co.,hydroxyzine   tablet oral 25 mg,hydroxyzine hydrochloride tablet oral 25 mg,hydroxyzine hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36132
36133,36133,daana pharma,"ampisul   injection, powder, for solution parenteral 1 g/0.5 g  g","ampicillin / sulbactam injection, powder, for solution parenteral 1 g/0.5 g",ampicillin / sulbactam,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36133
36134,36134,fanavarihaye novin darouie atieh,"divalproex   tablet, delayed release oral 250 mg","valproate semisodium tablet, delayed release oral 250 mg",valproate semisodium,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36134
36135,36135,rouzdarou,risperidone   tablet oral 2 mg,risperidone tablet oral 2 mg,risperidone,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36135
36136,36136,caspian tamin co.,ibuprofen   injection parenteral 100 mg/1ml 4 ml,ibuprofen injection parenteral 100 mg/1ml 4 ml,ibuprofen,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36136
36137,36137,farabi pharmaceutical,"nitroglycerin   tablet, extended release oral 2.6 mg","nitroglycerin tablet, extended release oral 2.6 mg",nitroglycerin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36137
36138,36138,rouzdarou,ruzaphen   tablet oral 500 mg,acetaminophen tablet oral 500 mg,acetaminophen,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36138
36139,36139,sina darou laboratories,candizol   cream topical 1 % 15 g,clotrimazole cream topical 1 % 15 g,clotrimazole,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36139
36140,36140,exir pharmaceutical company,atorvastatin   tablet oral 10 mg,atorvastatin (as calcium) tablet oral 10 mg,atorvastatin (as calcium),j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36140
36141,36141,tehran darou pharmaceutical co.,sympacol   tablet oral 10 mg,bethanechol chloride tablet oral 10 mg,bethanechol chloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36141
36142,36142,tehran chemie pharmaceutical co.,claricin   tablet oral 250 mg,clarithromycin tablet oral 250 mg,clarithromycin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36142
36143,36143,iran najo,erythromycin-najo   ointment ophthalmic 0.5 % 3 g,erythromycin ointment ophthalmic 0.5 % 3 g,erythromycin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36143
36144,36144,faran shimi pharmaceutical co.,"fampiron   tablet, extended release oral 10 mg","fampridine tablet, extended release oral 10 mg",fampridine,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36144
36145,36145,razak labratories,"theophylline   tablet, extended release oral 200 mg","theophylline tablet, extended release oral 200 mg",theophylline,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36145
36146,36146,,piroxicam (zahravi) 10mg cap   capsule oral 10 mg,piroxicam capsule oral 10 mg,piroxicam,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36146
36147,36147,samen pharmaceutical co,"levofloxacin in dextrose   injection, solution intravenous 5 mg/1ml 100 ml","levofloxacin injection, solution intravenous 5 mg/1ml 100 ml",levofloxacin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36147
36148,36148,sobhan oncology,everolimus   tablet oral 5 mg,everolimus tablet oral 5 mg,everolimus,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36148
36149,36149,sina darou laboratories,"neophrin   solution, drops ophthalmic 5 % 10 ml","phenylephrine hydrochloride solution, drops ophthalmic 5 % 10 ml",phenylephrine hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36149
36150,36150,razak labratories,valsartan   tablet oral 80 mg,valsartan tablet oral 80 mg,valsartan,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36150
36151,36151,sobhan oncology,irinotecan hydrochloride   injection parenteral 20 mg/1ml 5 ml,irinotecan hydrochloride injection parenteral 20 mg/1ml 5 ml,irinotecan hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36151
36152,36152,neal pharmed,"tamsulosin   capsule, extended release oral 0.4 mg","tamsulosin hydrochloride capsule, extended release oral 0.4 mg",tamsulosin hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36152
36153,36153,,clidinium c (zahravi) tab   tablet oral 2.5 mg/5 mg,clidinium / chlordiazepoxide tablet oral 2.5 mg/5 mg,clidinium / chlordiazepoxide,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36153
36154,36154,sina darou laboratories,"betaxol   solution, drops ophthalmic 0.5 % 10 ml","betaxolol solution, drops ophthalmic 0.5 % 10 ml",betaxolol,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36154
36155,36155,emad darman pars,clobetasol-emad   ointment topical 0.05 % 15 g,clobetasol propionate ointment topical 0.05 % 15 g,clobetasol propionate,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36155
36156,36156,pursina pharmaceutical co.,simvastatin   tablet oral 20 mg,simvastatin tablet oral 20 mg,simvastatin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36156
36157,36157,aburaihan pharmaceutical co,rhinofex   tablet oral 60 mg,fexofenadine hydrochloride tablet oral 60 mg,fexofenadine hydrochloride,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36157
36158,36158,kishmedipharm,epiloger   tablet oral 500 mg,levetiracetam tablet oral 500 mg,levetiracetam,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36158
36159,36159,actero middleeast,"carboxa   injection, solution, concentrate intravenous 10 mg/1ml 45 ml","carboplatin injection, solution, concentrate intravenous 10 mg/1ml 45 ml",carboplatin,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36159
36160,36160,darou pakhsh,ketoconazole   lotion topical 2 % 20 ml,ketoconazole lotion topical 2 % 20 ml,ketoconazole,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36160
36161,36161,شرکت دارو سازی یاس کویرمیبد,"omeprazole   capsule, delayed release pellets oral 20 mg","omeprazole capsule, delayed release pellets oral 20 mg",omeprazole,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36161
36162,36162,flagship biotech international private limited,"chlocol   solution, drops ophthalmic 0.5 % 5 ml","chloramphenicol solution, drops ophthalmic 0.5 % 5 ml",chloramphenicol,j05ab14,antiinfectives for systemic use,antivirals for systemic use,direct acting antivirals,nucleosides and nucleotides excl. reverse transcriptase inhibitors,valganciclovir,36162
