,Unnamed: 0,pharma_company,brand_name_en,generic_name_en,substance_name_en,atc_code_raw,anatomical_desc,therapeutic_desc,pharmacological_desc,subpharmacological_desc,chemical_desc,preprocessed_index
44,44,actoverco,valsacor   tablet oral 80 mg,valsartan tablet oral 80 mg,valsartan,c09ca03,cardiovascular system,agents acting on the renin-angiotensin system,"angiotensin ii receptor blockers (arbs), plain","angiotensin ii receptor blockers (arbs), plain",valsartan,44
45,45,taha collaborative industrial investment,actogest   suppository vaginal 400 mg,progesterone suppository vaginal 400 mg,progesterone,g03da04,genito urinary system and sex hormones,sex hormones and modulators of the genital system,progestogens,pregnen (4) derivatives,progesterone,45
46,46,taha collaborative industrial investment,actogest   suppository vaginal 400 mg,progesterone suppository vaginal 400 mg,progesterone,g03da04,genito urinary system and sex hormones,sex hormones and modulators of the genital system,progestogens,pregnen (4) derivatives,progesterone,46
47,47,taha collaborative industrial investment,actogest   suppository vaginal 400 mg,progesterone suppository vaginal 400 mg,progesterone,g03da04,genito urinary system and sex hormones,sex hormones and modulators of the genital system,progestogens,pregnen (4) derivatives,progesterone,47
48,48,taha collaborative industrial investment,actogest   suppository vaginal 400 mg,progesterone suppository vaginal 400 mg,progesterone,g03da04,genito urinary system and sex hormones,sex hormones and modulators of the genital system,progestogens,pregnen (4) derivatives,progesterone,48
49,49,actoverco,fastover   tablet oral 120 mg,fexofenadine hydrochloride tablet oral 120 mg,fexofenadine hydrochloride,r06ax26,respiratory system,antihistamines for systemic use,antihistamines for systemic use,other antihistamines for systemic use,fexofenadine,49
50,50,actoverco,rituxiver   injection parenteral 10 mg/1ml 50 ml,rituximab injection parenteral 10 mg/1ml 50 ml,rituximab,l01xc02,antineoplastic and immunomodulating agents,antineoplastic agents,other antineoplastic agents,monoclonal antibodies,rituximab,50
51,51,actoverco,escitover   tablet oral 10 mg,escitalopram (as oxalate) tablet oral 10 mg,escitalopram (as oxalate),n06ab10,nervous system,psychoanaleptics,antidepressants,selective serotonin reuptake inhibitors,escitalopram,51
52,52,actoverco,rosurexin   tablet oral 10 mg,rosuvastatin (as calcium) tablet oral 10 mg,rosuvastatin (as calcium),c10aa07,cardiovascular system,lipid modifying agents,"lipid modifying agents, plain",hmg coa reductase inhibitors,rosuvastatin,52
53,53,merck serono s.p.a.,"gonal-f   injection, powder, for solution parenteral 75 [iu]  [iu]","follitropin alfa injection, powder, for solution parenteral 75 [iu]",follitropin alfa,g03ga05,genito urinary system and sex hormones,sex hormones and modulators of the genital system,gonadotropins and other ovulation stimulants,gonadotropins,follitropin alfa,53
54,54,actoverco,"sustac   tablet, extended release oral 6.4 mg","nitroglycerin tablet, extended release oral 6.4 mg",nitroglycerin,c01da02,cardiovascular system,cardiac therapy,vasodilators used in cardiac diseases,organic nitrates,glyceryl trinitrate,54
55,55,actoverco,"sustac   tablet, extended release oral 6.4 mg","nitroglycerin tablet, extended release oral 6.4 mg",nitroglycerin,c01da02,cardiovascular system,cardiac therapy,vasodilators used in cardiac diseases,organic nitrates,glyceryl trinitrate,55
56,56,actoverco,"sustac   tablet, extended release oral 6.4 mg","nitroglycerin tablet, extended release oral 6.4 mg",nitroglycerin,c01da02,cardiovascular system,cardiac therapy,vasodilators used in cardiac diseases,organic nitrates,glyceryl trinitrate,56
57,57,actoverco,"sustac   tablet, extended release oral 6.4 mg","nitroglycerin tablet, extended release oral 6.4 mg",nitroglycerin,c01da02,cardiovascular system,cardiac therapy,vasodilators used in cardiac diseases,organic nitrates,glyceryl trinitrate,57
58,58,actoverco,fromilid   tablet oral 500 mg,clarithromycin tablet oral 500 mg,clarithromycin,j01fa09,antiinfectives for systemic use,antibacterials for systemic use,"macrolides, lincosamides and streptogramins",macrolides,clarithromycin,58
59,59,actoverco,fromilid   tablet oral 500 mg,clarithromycin tablet oral 500 mg,clarithromycin,j01fa09,antiinfectives for systemic use,antibacterials for systemic use,"macrolides, lincosamides and streptogramins",macrolides,clarithromycin,59
60,60,actero middleeast,capecitabine acte   tablet oral 500 mg,capecitabine tablet oral 500 mg,capecitabine,l01bc06,antineoplastic and immunomodulating agents,antineoplastic agents,antimetabolites,pyrimidine analogues,capecitabine,60
61,61,actoverco,"mebacto   capsule, extended release oral 200 mg","mebeverine hydrochloride capsule, extended release oral 200 mg",mebeverine hydrochloride,a03aa04,alimentary tract and metabolism,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,"synthetic anticholinergics, esters with tertiary amino group",mebeverine,61
62,62,actoverco,"actovex   injection, powder, for solution parenteral 6000000 [iu]  ug","interferon beta-1a injection, powder, for solution parenteral 6000000 [iu]",interferon beta-1a,l03ab07,antineoplastic and immunomodulating agents,immunostimulants,immunostimulants,interferons,interferon beta-1a,62
63,63,actoverco,"alventa   capsule, extended release oral 37.5 mg","venlafaxine capsule, extended release oral 37.5 mg",venlafaxine,n06ax16,nervous system,psychoanaleptics,antidepressants,other antidepressants,venlafaxine,63
64,64,actero middleeast,neonib   capsule oral 200 mg,nilotinib capsule oral 200 mg,nilotinib,l01xe08,antineoplastic and immunomodulating agents,antineoplastic agents,other antineoplastic agents,,,64
65,65,actoverco,actover valosap   tablet oral 5 mg/80 mg,amlodipine (as besilate) / valsartan tablet oral 5 mg/80 mg,amlodipine (as besilate) / valsartan,c09db01,cardiovascular system,agents acting on the renin-angiotensin system,"angiotensin ii receptor blockers (arbs), combinations",angiotensin ii receptor blockers (arbs) and calcium channel blockers,valsartan and amlodipine,65
66,66,actoverco,quentiax   tablet oral 100 mg,quetiapine fumarate tablet oral 100 mg,quetiapine fumarate,n05ah04,nervous system,psycholeptics,antipsychotics,"diazepines, oxazepines, thiazepines and oxepines",quetiapine,66
67,67,actoverco,zoliver   tablet oral 10 mg,zolpidem tablet oral 10 mg,zolpidem,n05cf02,nervous system,psycholeptics,hypnotics and sedatives,benzodiazepine related drugs,zolpidem,67
68,68,merck healthcare kgaa,concor   tablet oral 10 mg,bisoprolol fumarate tablet oral 10 mg,bisoprolol fumarate,c07ab07,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",bisoprolol,68
69,69,actoverco,"mesalover   capsule, extended release oral 500 mg","mesalazine capsule, extended release oral 500 mg",mesalazine,a07ec02,alimentary tract and metabolism,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",intestinal antiinflammatory agents,aminosalicylic acid and similar agents,mesalazine,69
70,70,actoverco,"mesalover   capsule, extended release oral 500 mg","mesalazine capsule, extended release oral 500 mg",mesalazine,a07ec02,alimentary tract and metabolism,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",intestinal antiinflammatory agents,aminosalicylic acid and similar agents,mesalazine,70
71,71,merck healthcare kgaa,concor   tablet oral 5 mg,bisoprolol fumarate tablet oral 5 mg,bisoprolol fumarate,c07ab07,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",bisoprolol,71
72,72,actoverco,rosurexin   tablet oral 40 mg,rosuvastatin (as calcium) tablet oral 40 mg,rosuvastatin (as calcium),c10aa07,cardiovascular system,lipid modifying agents,"lipid modifying agents, plain",hmg coa reductase inhibitors,rosuvastatin,72
73,73,actoverco,clotover   tablet oral 10 mg,rivaroxaban tablet oral 10 mg,rivaroxaban,b01af01,blood and blood forming organs,antithrombotic agents,antithrombotic agents,direct factor xa inhibitors,rivaroxaban,73
74,74,ati pharmed pharmaceutical company,finoscar   tablet oral 5 mg,finasteride tablet oral 5 mg,finasteride,g04cb01,genito urinary system and sex hormones,urologicals,drugs used in benign prostatic hypertrophy,testosterone-5-alpha reductase inhibitors,finasteride,74
