,Unnamed: 0,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,preprocessed_index
79,79,اکتوورکو,merck serono,الیت دارو,آلمان,کنکور کور   قرص خوراکی 2.5 mg,79
80,80,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,ویزارسین   قرص خوراکی 50 mg,80
81,81,اکتوورکو,اکتوورکو,الیت دارو,ایران,زنوور   کپسول خوراکی 120 mg,81
82,82,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوسرک   قرص خوراکی 8 mg,82
83,83,اکتوورکو,اکتوورکو,الیت دارو,ایران,کوئنتیاکس   قرص خوراکی 25 mg,83
84,84,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,متازیرو   قرص پیوسته رهش خوراکی 95 mg,84
85,85,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,متازیرو   قرص پیوسته رهش خوراکی 95 mg,85
86,86,دارویی البرز زاگرس,clausen,الیت دارو,اوروگوئه,سوپریمون   قرص خوراکی 500 mg,86
87,87,دارویی البرز زاگرس,clausen,الیت دارو,اوروگوئه,سوپریمون   قرص خوراکی 500 mg,87
88,88,اکتوورکو,merck,الیت دارو,ایران,کنکور   قرص خوراکی 10 mg,88
89,89,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,وروژست   قرص خوراکی 2 mg,89
90,90,اکتوورکو,اکتوورکو,الیت دارو,ایران,کلاتوور   قرص خوراکی 2.5 mg,90
91,91,اکتوورکو,merck,الیت دارو,ایران,گلوکوفاژ   قرص خوراکی 1000 mg,91
92,92,اکتوورکو,اکتوورکو,الیت دارو,ایران,زیگات   قرص خوراکی 550 mg,92
93,93,اکتوورکو,اکتوورکو,الیت دارو,ایران,تیکورا   قرص خوراکی 90 mg,93
94,94,اکتوورکو,اکتوورکو,الیت دارو,ایران,کوئنتیاکس   قرص خوراکی 200 mg,94
95,95,اکتوورکو,اکتوورکو,الیت دارو,ایران,امپاور   قرص خوراکی 10 mg,95
96,96,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,تَنسی   قرص خوراکی 750 ug,96
97,97,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,دروسبلین   قرص خوراکی 3 mg/0.03 mg,97
98,98,اکتوورکو,اکتوورکو,الیت دارو,ایران,کلاتوور   قرص خوراکی 15 mg,98
99,99,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوپنتین   کپسول خوراکی 100 mg,99
100,100,اکتوورکو,اکتوورکو,الیت دارو,ایران,لایریور   کپسول خوراکی 75 mg,100
101,101,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,سیبل   قرص خوراکی 2 mg/0.035 mg,101
102,102,دارویی البرز زاگرس,iclos uruguay s.a. (ex laboratorios clausen),الیت دارو,ایران,سوپریمون   قرص خوراکی 500 mg,102
103,103,دارویی البرز زاگرس,iclos uruguay s.a. (ex laboratorios clausen),الیت دارو,ایران,سوپریمون   قرص خوراکی 500 mg,103
104,104,اکتوورکو,اکتوورکو,الیت دارو,ایران,موتیلوور   قرص خوراکی 10 mg,104
105,105,اکتوورکو,اکتوورکو,الیت دارو,ایران,موتیلوور   قرص خوراکی 10 mg,105
106,106,اکتوورکو,اکتوورکو,الیت دارو,ایران,موتیلوور   قرص خوراکی 10 mg,106
107,107,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,کربوکسا   محلول غلیظ تزریقی داخل وریدی 10 mg/1ml 15 ml,107
108,108,اکتوورکو,اکتوورکو,الیت دارو,ایران,لنزاکتو   کپسول انتریک کوتد خوراکی 30 mg,108
109,109,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,آسنترا   قرص خوراکی 100 mg,109
110,110,اکتوورکو,"krka, d. d., novo mesto",الیت دارو,ایران,والساکور   قرص خوراکی 160 mg,110
111,111,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوپنتین   کپسول خوراکی 300 mg,111
112,112,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,انکوزار   پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1 g  g,112
113,113,اکتوورکو,merck kgaa,الیت دارو,فرانسه,آدانکور   قرص خوراکی 20 mg,113
114,114,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوفرون   پودر برای تهیه محلول تزریقی پرنترال 9600000 [iu]  ug,114
