pharma_company,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,brand_name_en,generic_name_en,substance_name_en,atc_code
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,ایمی پرامین   قرص خوراکی 10 mg,IMIPRAMINE   TABLET ORAL 10 mg,IMIPRAMINE HYDROCHLORIDE TABLET ORAL 10 mg,IMIPRAMINE HYDROCHLORIDE,N06AA02
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,تری هگزیفنیدیل   قرص خوراکی 2 mg,TRIHEXYPHENIDYL   TABLET ORAL 2 mg,TRIHEXYPHENIDYL HYDROCHLORIDE TABLET ORAL 2 mg,TRIHEXYPHENIDYL HYDROCHLORIDE,N04AA01
Gilaranco,گیلارانکو,گیلارانکو,امید پخش آروند پارسیان,ایران,کلوبتازول-گیلارانکو   پماد موضعی 0.05 % 15 g,CLOBETASOL-GILARANCO   OINTMENT TOPICAL 0.05 % 15 g,CLOBETASOL PROPIONATE OINTMENT TOPICAL 0.05 % 15 g,CLOBETASOL PROPIONATE,D07AD01
NEAL PHARMED,نیل فارمد,نیل فارمد,امید پخش آروند پارسیان,ایران,اس امپرانیل   کپسول انتریک کوتد خوراکی 40 mg,"ESOMPERANIL   CAPSULE, DELAYED RELEASE ORAL 40 mg","ESOMEPRAZOLE CAPSULE, DELAYED RELEASE ORAL 40 mg",ESOMEPRAZOLE,A02BC05
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,دیورزید   قرص خوراکی 50 mg,DIUREZID   TABLET ORAL 50 mg,HYDROCHLOROTHIAZIDE TABLET ORAL 50 mg,HYDROCHLOROTHIAZIDE,C03AA03
Sajad Daru Shargh,سجاد داروی شرق,سجاد داروی شرق,امید پخش آروند پارسیان,ایران,تولترودین   قرص خوراکی 2 mg,TOLTERODINE   TABLET ORAL 2 mg,TOLTERODINE TARTRATE TABLET ORAL 2 mg,TOLTERODINE TARTRATE,G04BD07
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,پوکساکیم   قرص خوراکی 10 mg,POXAKIM   TABLET ORAL 10 mg,CHLORDIAZEPOXIDE TABLET ORAL 10 mg,CHLORDIAZEPOXIDE,N05BA02
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,امید پخش آروند پارسیان,ایران,ایزوپرین   قرص خوراکی 10 mg,ISUPRINE   TABLET ORAL 10 mg,ISOXSUPRINE HYDROCHLORIDE TABLET ORAL 10 mg,ISOXSUPRINE HYDROCHLORIDE,C04AA01
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,امید پخش آروند پارسیان,ایران,ایندوساپ   شیاف مقعدی 100 mg,INDOSUPP   SUPPOSITORY RECTAL 100 mg,INDOMETHACIN SUPPOSITORY RECTAL 100 mg,INDOMETHACIN,M01AB01
Emad Darman Pars,عماد درمان پارس,عماد درمان پارس,امید پخش آروند پارسیان,ایران,فلوسینولون-عماد   کرم موضعی 0.025 % 15 g,FLUOCINOLONE-EMAD   CREAM TOPICAL 0.025 % 15 g,FLUOCINOLONE ACETONIDE CREAM TOPICAL 0.025 % 15 g,FLUOCINOLONE ACETONIDE,D07AC04
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,ایمی پرامین   قرص خوراکی 25 mg,IMIPRAMINE   TABLET ORAL 25 mg,IMIPRAMINE HYDROCHLORIDE TABLET ORAL 25 mg,IMIPRAMINE HYDROCHLORIDE,N06AA02
Sobhan Oncology,داروسازی سبحان انکولوژی,داروسازی سبحان انکولوژی,امید پخش آروند پارسیان,ایران,زوپلات   محلول غلیظ تزریقی پرنترال 5 mg/1mL 10 mL,"XOPLAT   INJECTION, SOLUTION, CONCENTRATE PARENTERAL 5 mg/1mL 10 mL","OXALIPLATIN INJECTION, SOLUTION, CONCENTRATE PARENTERAL 5 mg/1mL 10 mL",OXALIPLATIN,L01XA03
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,آ اس آ-حکیم   قرص انتریک کوتد خوراکی 80 mg,"ASA-HAKIM   TABLET, DELAYED RELEASE ORAL 80 mg","ASA (ACETYLSALICYLIC ACID) TABLET, DELAYED RELEASE ORAL 80 mg",ASA (ACETYLSALICYLIC ACID),B01AC06
Pharmachemie,فارماشیمی,فارماشیمی,امید پخش آروند پارسیان,ایران,استامینوفن   شیاف مقعدی 125 mg,ACETAMINOPHEN   SUPPOSITORY RECTAL 125 mg,ACETAMINOPHEN SUPPOSITORY RECTAL 125 mg,ACETAMINOPHEN,N02BE01
Amin Pharmaceutical Co.,داروسازی کوثر,داروسازی کوثر,امید پخش آروند پارسیان,ایران,بیزوپرولول   قرص خوراکی 10 mg,BISOPROLOL   TABLET ORAL 10 mg,BISOPROLOL FUMARATE TABLET ORAL 10 mg,BISOPROLOL FUMARATE,C07AB07
Sobhandarou,سبحان دارو,سبحان دارو,امید پخش آروند پارسیان,ایران,سیتاکسا   قرص خوراکی 20 mg,CITAXA   TABLET ORAL 20 mg,CITALOPRAM TABLET ORAL 20 mg,CITALOPRAM,N06AB04
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,متوکیم   قرص خوراکی 50 mg,METOKIM   TABLET ORAL 50 mg,METOPROLOL TARTRATE TABLET ORAL 50 mg,METOPROLOL TARTRATE,C07AB02
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,آلومینیوم هیدروکساید/منیزیوم هیدروکساید/سایمتیکون   قرص جویدنی خوراکی 200 mg/200 mg/25 mg,"ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE   TABLET, CHEWABLE ORAL 200 mg/200 mg/25 mg","ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE TABLET, CHEWABLE ORAL 200 mg/200 mg/25 mg",ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE,A02AF02
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,دیکلوکیم   قرص پیوسته رهش خوراکی 100 mg,"DICLOKIM   TABLET, EXTENDED RELEASE ORAL 100 mg","DICLOFENAC SODIUM TABLET, EXTENDED RELEASE ORAL 100 mg",DICLOFENAC SODIUM,M01AB05
Sobhan Oncology,داروسازی سبحان انکولوژی,داروسازی سبحان انکولوژی,امید پخش آروند پارسیان,ایران,جم سیبان   محلول غلیظ تزریقی پرنترال 100 mg/1mL 10 mL,"GEMSIBAN   INJECTION, SOLUTION, CONCENTRATE PARENTERAL 100 mg/1mL 10 mL","GEMCITABINE HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 100 mg/1mL 10 mL",GEMCITABINE HYDROCHLORIDE,L01BC05
Amin Pharmaceutical Co.,داروسازی کوثر,داروسازی کوثر,امید پخش آروند پارسیان,ایران,بیزوپرولول   قرص خوراکی 5 mg,BISOPROLOL   TABLET ORAL 5 mg,BISOPROLOL FUMARATE TABLET ORAL 5 mg,BISOPROLOL FUMARATE,C07AB07
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,پرگابالین-حکیم   کپسول خوراکی 50 mg,PREGABALIN-HAKIM   CAPSULE ORAL 50 mg,PREGABALIN CAPSULE ORAL 50 mg,PREGABALIN,N03AX16
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,امید پخش آروند پارسیان,ایران,جنتادیک   تزریقی پرنترال 40 mg/1mL 2 mL,GENTADIC   INJECTION PARENTERAL 40 mg/1mL 2 mL,GENTAMICIN INJECTION PARENTERAL 40 mg/1mL 2 mL,GENTAMICIN,J01GB03
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,فنوباربیتال   قرص خوراکی 15 mg,PHENOBARBITAL   TABLET ORAL 15 mg,PHENOBARBITAL TABLET ORAL 15 mg,PHENOBARBITAL,N03AA02
Toliddaru Pharma. Co.,داروسازی تولید دارو,داروسازی تولید دارو,امید پخش آروند پارسیان,ایران,پرانول   قرص خوراکی 10 mg,PRANOL   TABLET ORAL 10 mg,PROPRANOLOL HYDROCHLORIDE TABLET ORAL 10 mg,PROPRANOLOL HYDROCHLORIDE,C07AA05
Shahid Ghazi Pharmaceutical Co.,داروسازی شهید قاضی,داروسازی شهید قاضی,امید پخش آروند پارسیان,ایران,دکستروز   محلول تزریقی داخل وریدی 10 % 500 mL,"DEXTROSE   INJECTION, SOLUTION INTRAVENOUS 10 % 500 mL","DEXTROSE INJECTION, SOLUTION INTRAVENOUS 10 % 500 mL",DEXTROSE,B05BA03
Ramopharmin,رامو فارمین,رامو فارمین,امید پخش آروند پارسیان,ایران,هیوسین-ان-بوتیل بروماید   قرص خوراکی 10 mg,HYOSCINE-N-BUTYL BROMIDE   TABLET ORAL 10 mg,HYOSCINE-N-BUTYL BROMIDE TABLET ORAL 10 mg,HYOSCINE-N-BUTYL BROMIDE,A03BB01
Sobhandarou,سبحان دارو,سبحان دارو,امید پخش آروند پارسیان,ایران,دیکلوتان   قرص انتریک کوتد خوراکی 50 mg,"DICLOTAN   TABLET, DELAYED RELEASE ORAL 50 mg","DICLOFENAC SODIUM TABLET, DELAYED RELEASE ORAL 50 mg",DICLOFENAC SODIUM,M01AB05
